user_key,total_trades,luck_index,luck_z,skill_index,skill_z,skill_randomized_sd_usdc,total_luck_usdc,total_variance,effective_markets,number_of_resolved_markets,skill_usdc,skill_roi,raw_pnl_usdc,gross_trade_notional_usdc,warning_count
0x2dfe38f863bf0554652ae356f7ce138823b794fe,30,,,,,0.0,0.0,0,0.0,0,0.0,,0.0,0.0,30
0x33ab58e55895f39619815d31dfc92d90d65f9523,3330,83.13149456757,0.9593745156314356,0.0,-14.057010594339351,1611.0346669447192,25234.96669521989,691877354.2618308,28.506018692934404,514,-22646.331381089887,-0.008913999724846881,2588.6353141300697,2540535.3466598736,47
0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,3890,68.68228882329439,0.4868646895747948,68.46986797031245,0.480878800455843,89039.28744712743,21792.501172049913,2003538074.7513232,20.78314553851736,100,42817.105741017636,0.014042946305114962,64609.60691306833,3049011.5685639316,62
0x6049761986af66cd8e78997c940766bd69c7f14f,3556,82.53206975478264,0.9358341126234784,0.0,-13.95719424645397,1556.4963922824577,24362.859264000013,677733212.9484712,18.377522127532934,482,-21724.32249099108,-0.00883148049891537,2638.536773008854,2459873.2334470004,62
0x8d0930676d559cc8fb7d8af0c555791c1820143f,3913,85.40114281092426,1.0537942125308013,0.038995163131694266,-3.359830426629703,1904.3531122872585,13792.880848290024,171316167.73108873,37.5879503945636,315,-6398.303529709703,-0.004560272573540467,7394.577318580302,1403052.871627417,384
0xe1d6b51521bd4365769199f392f9818661bd907c,7030,0.5878684812488266,-2.519344091755842,99.99999999946701,6.797299929804536,3353.4145666404306,-15679.397510430488,38733234.61260611,3.361005031623668,162,22794.164598430507,0.2042574654867254,7114.767087999992,111595.25819100055,1554
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,2386,68.8131886874509,0.4905620597268125,15.796642833613362,-1.0028507946448681,12898.265020700897,21877.437655549944,1988863586.6165798,8.094232273780932,124,-12935.035325550001,-0.0044190866959886044,8942.402329999994,2927083.4032950047,397
debased,3633,59.10292690169645,0.230193436339285,0.15519904421812392,-2.957248263692108,3712.996559570619,12360.804262885005,2883417874.244743,2.331832272850623,25,-10980.252628884984,-0.005434581841192408,1380.5516339999983,2020441.121276001,2836
kch123,3713,81.1162581292845,0.8821885783846746,69.59081778480622,0.5126679047041159,238613.69115596308,105830.24027765474,14391189863.61796,1.9322339329500193,29,122329.58107864263,0.07475236956306099,228159.82135629415,1636464.2591756985,1
magamyman,698,90.17854684647945,1.2917923565422118,99.16614821871575,2.39375167234733,242651.6797156553,202984.87130076136,24691184249.15037,1.434280782425449,90,580847.8641172387,0.30840443725346284,783832.7354180004,1883396.585633,31
secondwincapital,3858,66.07361504494943,0.41447305128505335,95.7781808066215,1.7255056643902955,629665.1342052349,86093.33922832066,43146593081.32314,5.8331438145925825,26,1086490.7557402086,0.2844024602318748,1172584.0949685366,3820257.936075472,1731
Taoli1,3689,38.10736225164451,-0.30266228185891686,49.694905631839696,-0.0076476562435862025,42747.52922160538,-5732.586036835126,358743927.92836,17.91998419501147,376,-326.918408749494,-0.00023364513538368253,-6059.504445584702,1399209.1391615833,161
