event_id,condition_id,question,slug,event_slug,jump_time,p_before,p_after,delta_p,jump_size_logit,vol_sigma,volume_during_jump,volume_before_jump,price_window_seconds,participants
0x37c139252590ae8651005670811f54a6f390af68ead9f155319217235989d197:1776466844,0x37c139252590ae8651005670811f54a6f390af68ead9f155319217235989d197,Valorant: Cloud9 vs Team Envy (BO3) - VCT Americas Stage 1 Group Alpha,val-c9-nv2-2026-04-17,,1776466844,0.835,0.305,-0.53,-2.4450863199076553,0.7255250536980501,36816.74273266965,9961.74645800708,1800,238
0xe846dd72f8a654ef137a3e23a88226400b42cc0ca817ab4390a615860e08cafa:1776470428,0xe846dd72f8a654ef137a3e23a88226400b42cc0ca817ab4390a615860e08cafa,"Iran agrees to surrender enriched uranium stockpile by December 31, 2026?",iran-agrees-to-surrender-enriched-uranium-stockpile-by-december-31-2026,,1776470428,0.74,0.625,-0.11499999999999999,-0.5351429314166969,0.09260192227928056,48.139994,31.5,1800,162
0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42:1776474053,0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42,Weed rescheduled by December 31?,weed-rescheduled-by-december-31,,1776474053,0.489,0.3735,-0.11549999999999999,-0.4732236690344186,0.09281728628439731,0.0,0.0,1800,6
0x5b37c00134608be07aa1bfc2f3d6aadcea503d19e9c3d2473bfcc02f475bedb0:1776506446,0x5b37c00134608be07aa1bfc2f3d6aadcea503d19e9c3d2473bfcc02f475bedb0,LoL: Hanwha Life Esports vs Gen.G (BO3) - LCK Rounds 1-2,lol-hle1-gen-2026-04-18,,1776506446,0.625,0.9995,0.37450000000000006,7.089576710734519,0.8900416982952039,230813.2986485266,150999.45071282235,1800,628
0x45889139b8445d255ea56f2119d09c383f6dcd46d811fb967b228cb0d9989967:1776524419,0x45889139b8445d255ea56f2119d09c383f6dcd46d811fb967b228cb0d9989967,LoL: CTBC Flying Oyster vs Deep Cross Gaming (BO3) - LCP Regular Season,lol-cfo-dcg-2026-04-18,,1776524419,0.485,0.0005,-0.4845,-7.540384324774147,0.75624730100231,190.02978000000002,31.40366,1800,364
0xe29deb6e8fd20cd188174930cc092dfc15483abe6d0e8e986176362c5485e9f8:1776614418,0xe29deb6e8fd20cd188174930cc092dfc15483abe6d0e8e986176362c5485e9f8,LoL: GAM Esports vs Ground Zero Gaming (BO3) - LCP Regular Season,lol-gam-gz-2026-04-19,,1776614418,0.525,0.9995,0.47450000000000003,7.5003188759435275,0.7963289375825855,1427.9905800000001,137.52233999999999,1800,338
0x8f55a7f95aa48175f1de5f66136dd5b536480290b596d91f078eec5f65b7523d:1776614422,0x8f55a7f95aa48175f1de5f66136dd5b536480290b596d91f078eec5f65b7523d,LoL: Hanwha Life Esports vs Kiwoom DRX (BO3) - LCK Rounds 1-2,lol-hle1-drx-2026-04-24,,1776614422,0.51,0.86,0.35,1.7752846320245497,0.629047951187333,0.0,0.0,1800,2
0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42:1776729657,0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42,Weed rescheduled by December 31?,weed-rescheduled-by-december-31,,1776729657,0.359,0.5145,0.15549999999999997,0.6377233359751158,0.09281728628439731,0.0,0.0,1800,6
0xe846dd72f8a654ef137a3e23a88226400b42cc0ca817ab4390a615860e08cafa:1776758433,0xe846dd72f8a654ef137a3e23a88226400b42cc0ca817ab4390a615860e08cafa,"Iran agrees to surrender enriched uranium stockpile by December 31, 2026?",iran-agrees-to-surrender-enriched-uranium-stockpile-by-december-31-2026,,1776758433,0.565,0.445,-0.11999999999999994,-0.4823735316379507,0.09260192227928056,1347.1414,1.9515999999999998,1800,320
0xd71b9362375fcab6786e980e1378739e1f1e6f507b7a175df16d732147a06da8:1776808811,0xd71b9362375fcab6786e980e1378739e1f1e6f507b7a175df16d732147a06da8,LoL: LYON vs FlyQuest (BO3) - Esports World Cup North America Qualifier Playoffs,lol-ly-fly-2026-04-21,,1776808811,0.405,0.0005,-0.4045,-7.215727996061309,0.64128553033976,1335.9626999999998,533.78568,1800,513
0xc8e9ba9e25f5adcf7e159e62c24ca3bda9a5245a049acb94fdd534e67ed1969e:1776816005,0xc8e9ba9e25f5adcf7e159e62c24ca3bda9a5245a049acb94fdd534e67ed1969e,Will the Virginia redistricting referendum pass?,will-the-virginia-redistricting-referendum-pass,,1776816005,0.8,0.9965,0.1965,4.265191810037606,0.2709051935858818,398560.60480999993,144396.28991099985,1800,861
0xd71a7c66b62326bc9994c7c6339061bd3e1fcd714e5ae465bd9235d9ea537764:1776862808,0xd71a7c66b62326bc9994c7c6339061bd3e1fcd714e5ae465bd9235d9ea537764,LoL: Ninjas in Pyjamas vs Anyone's Legend (BO3) - LPL Group Ascend,lol-nip-al-2026-04-22,,1776862808,0.145,0.0005,-0.1445,-5.826034607984214,0.7619384167601438,73030.72377803372,8886.059878597544,1800,404
0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42:1776873606,0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42,Weed rescheduled by December 31?,weed-rescheduled-by-december-31,,1776873606,0.4005,0.646,0.2455,1.0048847986079823,0.09281728628439731,9996.934069999998,0.0,1800,23
0x0c763cc9066c1733ffa440212b0a2bb491171177a41aef4a5af958a71f3263f6:1776873610,0x0c763cc9066c1733ffa440212b0a2bb491171177a41aef4a5af958a71f3263f6,Weed rescheduled by June 30?,weed-rescheduled-by-june-30,,1776873610,0.145,0.52,0.375,1.8544104341897225,0.1918403874008,29734.60469899999,0.0,1800,90
0x239ce1b048c9d5ed6b18e67c75f56e7ccb2418b318aa6537ab8a11b1431dde29:1776877207,0x239ce1b048c9d5ed6b18e67c75f56e7ccb2418b318aa6537ab8a11b1431dde29,Valorant: Eternal Fire vs Pcific Esports - Map 2 Winner,val-ef-pcfic-2026-04-22-game2,,1776877207,0.67,0.9995,0.3295,6.892217276576024,0.6728420946597281,136479.00474587688,38647.31130216475,1800,209
0x76de2207a86864a15a97cd8fc8e8905f4d8520f8e0fb8abf9393a34b6d19440f:1776891608,0x76de2207a86864a15a97cd8fc8e8905f4d8520f8e0fb8abf9393a34b6d19440f,Valorant: Natus Vincere vs Team Liquid (BO3) - VCT EMEA Group Alpha,val-navi1-tl1-2026-04-24,,1776891608,0.315,0.0095,-0.3055,-3.8700718680955184,0.5423642584236374,79156.38739396635,29141.06096053507,1800,304
0x5e9bcc2f3fd9bcfe6098ed9a02c2563e2f01e75f87f284abe7727f09ed9d8986:1776920406,0x5e9bcc2f3fd9bcfe6098ed9a02c2563e2f01e75f87f284abe7727f09ed9d8986,Ducks vs. Oilers,nhl-ana-edm-2026-04-22,,1776920406,0.635,0.9995,0.36450000000000005,7.04667468919031,0.824968343924062,339716.4312144576,50891.19264290539,1800,580
0x838a856a4860570b59223040dfff891d341ed21ed3e24918012811e780df8a12:1776924009,0x838a856a4860570b59223040dfff891d341ed21ed3e24918012811e780df8a12,Stars vs. Wild,nhl-dal-min-2026-04-22,,1776924009,0.465,0.9995,0.5345,7.74063167580916,0.9221388633280092,144366.26745158227,76793.08279923045,1800,527
0x37ed26efd098ec75f1a880195baa32ab251d64af3dc5503a7773e0ef63106cd1:1776927613,0x37ed26efd098ec75f1a880195baa32ab251d64af3dc5503a7773e0ef63106cd1,Games Total: O/U 2.5,lol-hle-dkc-2026-04-23-total-games-2pt5,,1776927613,0.46,0.9995,0.5395000000000001,7.760744984575689,0.8872838750294851,245.75700595615677,81.77350521061024,1800,28
0x237515fb5365664352e953746459cb901aa34f4c39fcd65e33eee13700f90e32:1776949207,0x237515fb5365664352e953746459cb901aa34f4c39fcd65e33eee13700f90e32,LoL: Ninjas in Pyjamas vs Bilibili Gaming (BO3) - LPL Group Ascend,lol-nip-blg-2026-04-23,,1776949207,0.225,0.775,0.55,2.473525254297854,0.5677705455081512,130738.62036663228,50407.43028679652,1800,514
0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42:1776952805,0x5ca748e7d1e070a392c9aa3e4d62ad3c00c3a9fce0a1ea721ca7c8ed388b5e42,Weed rescheduled by December 31?,weed-rescheduled-by-december-31,,1776952805,0.591,0.2825,-0.3085,-1.300195258410577,0.09281728628439731,26273.962303999997,15842.122818999998,1800,143
0xdf514b40d593cea7ab773fe9b6df73df874f7abefeb565972e4809c9dc679d92:1777017606,0xdf514b40d593cea7ab773fe9b6df73df874f7abefeb565972e4809c9dc679d92,LoL: Nongshim Esports Academy vs DN SOOPers Challengers (BO3) - LCK Challengers League Rounds 1-2,lol-nsea-dnsc-2026-04-24,,1777017606,0.535,0.9995,0.4645,7.4601729931918594,0.7293520130151477,71780.80352072127,40255.736959603586,1800,418
0x1b9ce832b071bc41f7ae43d14bd9d7c6eb4beea073cef4992ce37bbf55aa8a5a:1777024804,0x1b9ce832b071bc41f7ae43d14bd9d7c6eb4beea073cef4992ce37bbf55aa8a5a,LoL: BNK FEARX vs KT Rolster (BO3) - LCK Rounds 1-2,lol-fox1-kt-2026-04-24,,1777024804,0.125,0.0005,-0.1245,-5.654492185445086,0.5496668010337616,175146.43446630117,42031.213919878115,1800,636
0x8f55a7f95aa48175f1de5f66136dd5b536480290b596d91f078eec5f65b7523d:1777032007,0x8f55a7f95aa48175f1de5f66136dd5b536480290b596d91f078eec5f65b7523d,LoL: Hanwha Life Esports vs Kiwoom DRX (BO3) - LCK Rounds 1-2,lol-hle1-drx-2026-04-24,,1777032007,0.885,0.9995,0.11450000000000005,5.55974681785583,0.629047951187333,82531.55853506543,14760.347582804321,1800,610
0xc621ee939474b35371c6d0073676a852be3b7927038e4a28f786244a31c30011:1777035604,0xc621ee939474b35371c6d0073676a852be3b7927038e4a28f786244a31c30011,Valorant: Paper Rex vs Global Esports (BO3) - VCT Pacific Group Alpha,val-pr1-ge1-2026-04-24,,1777035604,0.775,0.9995,0.22450000000000003,6.363639707351583,0.5795945428979703,65571.08995132055,7759.277266056601,1800,380
0x7aa6ecf3de5537b7822a0d6041b713ecc4d8b5c9f58449e16509c8af43db86ef:1777046404,0x7aa6ecf3de5537b7822a0d6041b713ecc4d8b5c9f58449e16509c8af43db86ef,Will Steve Witkoff have a diplomatic meeting with Iran by April 30?,will-steve-witkoff-have-a-diplomatic-meeting-with-iran-by-april-30,,1777046404,0.26,0.66,0.4,1.709262772592952,0.32364602696315553,6450.911126999997,0.0,1800,103
0xb1f00be4a289a5944a38a976f24eb2ba51f4b23f12d3306e60ac847c2aba33a2:1777050005,0xb1f00be4a289a5944a38a976f24eb2ba51f4b23f12d3306e60ac847c2aba33a2,Valorant: Gentle Mates vs Team Heretics (BO3) - VCT EMEA Group Alpha,val-gm-th1-2026-04-22,,1777050005,0.315,0.0005,-0.3145,-6.823556135063807,0.6378976353012716,44262.44620891289,14238.453829591792,1800,389
0xc505d63c59c2287b718fa3e3b80fa8dc88077c2bd3991b98f6ed0798237be325:1777086007,0xc505d63c59c2287b718fa3e3b80fa8dc88077c2bd3991b98f6ed0798237be325,Golden Knights vs. Utah,nhl-las-utah-2026-04-24,,1777086007,0.545,0.015,-0.53,-4.365079815782172,0.47997521776153296,80616.96081846928,27918.39077709382,1800,627
0xf64d8450a96b1d0c8c20b89a72d8e7754f001c24eede230b3dddaa78cc742b48:1777093205,0xf64d8450a96b1d0c8c20b89a72d8e7754f001c24eede230b3dddaa78cc742b48,Will the highest temperature in Shanghai be 20°C on April 25?,highest-temperature-in-shanghai-on-april-25-2026-20c,,1777093205,0.27,0.0005,-0.2695,-6.605779759356338,1.0108567570056446,14541.385405574089,6031.58083407377,1800,490
